reference_date,horizon,target_end_date,observed,WIS,AE,coverage_95
2026-01-17,3,2026-02-07,16121,2373.2,2672,1
2026-01-24,1,2026-01-31,15751,751,722,1
2026-01-24,2,2026-02-07,16121,1525.2,899,1
2026-01-24,3,2026-02-14,16436,2125.7,898,1
2026-01-31,1,2026-02-07,16121,714.9,476,1
2026-01-31,2,2026-02-14,16436,1780.7,2461,1
2026-01-31,3,2026-02-21,14731,2240.1,2275,1
2026-02-07,1,2026-02-14,16436,957.6,1601,1
2026-02-07,2,2026-02-21,14731,1559.5,1306,1
2026-02-07,3,2026-02-28,11159,2105.6,1320,1
2026-02-14,1,2026-02-21,14731,979.1,1678,1
2026-02-14,2,2026-02-28,11159,2520.4,4663,1
2026-02-14,3,2026-03-07,9598,3108.3,5485,1
2026-02-21,1,2026-02-28,11159,908.9,1456,1
2026-02-21,2,2026-03-07,9598,1612.4,1809,1
2026-02-21,3,2026-03-14,7793,2280,2802,1
2026-02-28,1,2026-03-07,9598,778.7,963,1
2026-02-28,2,2026-03-14,7793,1413.8,352,1
2026-02-28,3,2026-03-21,6088,1965.7,1398,1
2026-03-07,1,2026-03-14,7793,910.6,1478,1
2026-03-07,2,2026-03-21,6088,2026.9,3476,1
2026-03-07,3,2026-03-28,3306,3163.9,5868,1
2026-03-14,1,2026-03-21,6088,719.5,671,1
2026-03-14,2,2026-03-28,3306,1719.6,2686,1
2026-03-14,3,2026-04-04,2901,2008,2593,1
2026-03-21,1,2026-03-28,3306,881.3,1420,1
2026-03-21,2,2026-04-04,2901,1327.6,1163,1
2026-03-21,3,2026-04-11,2235,1685.1,1478,1
2026-03-28,1,2026-04-04,2901,797.2,1527,1
2026-03-28,2,2026-04-11,2235,972,1566,1
2026-03-28,3,2026-04-18,1941,1191.5,1359,1
2026-04-04,1,2026-04-11,2235,837.4,1328,1
2026-04-04,2,2026-04-18,1941,1425.5,1920,1
2026-04-04,3,2026-04-25,1877,1677.5,1647,1
2026-04-11,1,2026-04-18,1941,575.8,592,1
2026-04-11,2,2026-04-25,1877,919.3,1198,1
2026-04-11,3,2026-05-02,1649,1154.3,1058,1
2026-04-18,1,2026-04-25,1877,570.4,80,1
2026-04-18,2,2026-05-02,1649,1026.4,209,1
2026-04-18,3,2026-05-09,1473,1307.4,205,1
2026-04-25,1,2026-05-02,1649,594.4,360,1
2026-04-25,2,2026-05-09,1473,1028.1,376,1
2026-04-25,3,2026-05-16,1306,1307.3,364,1
2026-05-02,1,2026-05-09,1473,521.5,305,1
2026-05-02,2,2026-05-16,1306,880.8,407,1
2026-05-02,3,2026-05-23,1250,1151.7,456,1
2026-05-09,1,2026-05-16,1306,542.4,170,1
2026-05-09,2,2026-05-23,1250,955.4,198,1
2026-05-09,3,2026-05-30,1060,1231.4,241,1
2026-05-16,1,2026-05-23,1250,504.5,124,1
2026-05-16,2,2026-05-30,1060,866.5,124,1
2026-05-16,3,2026-06-06,1011,1135.9,182,1
